# OrderedDict([('code', u'204561'), ('alder (opsjonalt)', u'22'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_09_1121'), ('expName', 'StroopMW'), ('frameRate', 59.952907410955568)])
subj,trial,time,color,condition,correct,response,RT
204561,0,1.81367730616,blue,congruent,correct,j,0.668491661443
204561,1,3.83473628385,red,incongruent,correct,d,0.551688724612
204561,2,5.85568262158,green,congruent,correct,f,0.498469760653
204561,3,7.87617498617,red,neutral,incorrect,k,0.478291849262
204561,4,9.89631108424,red,neutral,correct,d,0.890181593522
204561,5,11.9249412587,red,congruent,correct,d,0.413342116974
204561,6,13.9450948501,yellow,neutral,correct,k,0.345072919436
204561,7,15.9659379345,red,neutral,correct,d,0.548206272765
204561,8,17.9860808593,blue,neutral,correct,j,0.624079093726
204561,9,20.0064217573,blue,neutral,correct,j,0.475722890358
204561,10,22.0268031886,blue,neutral,correct,j,0.391362819685
204561,11,24.0482094728,blue,congruent,correct,j,0.401962921829
204561,12,26.068839224,blue,neutral,correct,j,0.445488449926
204561,13,28.0905134547,green,incongruent,correct,f,0.599641770819
204561,14,30.1114393125,yellow,incongruent,correct,k,0.562811919867
204561,15,32.1333281564,blue,congruent,correct,j,0.508879142878
204561,16,34.153798761,blue,neutral,correct,j,0.424564298853
204561,17,36.1754192318,yellow,incongruent,correct,k,0.722717558308
204561,18,38.1957776231,yellow,neutral,incorrect,j,0.382335410203
204561,19,40.2173328139,yellow,congruent,correct,k,0.585135963675
204561,20,42.239103898,yellow,congruent,correct,k,0.515083300231
204561,21,44.260071569,green,congruent,correct,f,0.622247414508
204561,22,46.2810580134,yellow,incongruent,correct,k,0.441239705071
204561,23,48.3026247242,red,incongruent,correct,d,0.483520647031
204561,24,51.1840349081,green,probe,-1,3,-1
204561,25,53.4971675745,blue,neutral,incorrect,d,0.616981496755
204561,26,55.5186024454,red,congruent,correct,d,0.627846558786
204561,27,57.5400121429,green,incongruent,correct,f,0.686109573927
204561,28,59.5615259471,yellow,incongruent,correct,k,0.712613669285
204561,29,61.5818446584,green,neutral,correct,f,0.852279529695
204561,30,63.6022094497,green,neutral,correct,f,0.479943048557
204561,31,65.6230849608,yellow,incongruent,correct,k,0.53928851657
204561,32,67.6444494317,red,congruent,correct,d,0.533691078958
204561,33,69.6649891563,green,neutral,correct,f,0.721112438992
204561,34,71.6864295738,yellow,incongruent,correct,k,0.444005783891
204561,35,73.7081166045,blue,congruent,correct,j,0.533994865496
204561,36,75.7300788352,red,incongruent,correct,d,0.912280784094
204561,37,77.7521174391,blue,congruent,correct,j,0.809984081074
204561,38,79.7733018567,green,congruent,correct,f,0.517170126008
204561,39,81.793811288,yellow,neutral,correct,k,0.464591161774
204561,40,83.8147883457,yellow,incongruent,correct,k,0.603626409119
204561,41,85.8357380968,green,neutral,correct,f,0.582364338191
204561,42,87.8560542481,blue,neutral,incorrect,k,0.562098960171
204561,43,89.8767159993,blue,neutral,incorrect,k,0.445378796639
204561,44,91.8975010571,blue,neutral,correct,j,0.632771570017
204561,45,93.918788728,green,incongruent,correct,f,0.995637761861
204561,46,95.9406895186,blue,congruent,correct,j,1.11753637652
204561,47,97.9611251366,yellow,neutral,correct,k,0.553082644018
204561,48,99.9823018742,green,congruent,correct,f,0.627998025388
204561,49,102.004023892,yellow,congruent,correct,k,0.574376288266
204561,50,104.025078176,blue,incongruent,incorrect,f,0.985325232928
204561,51,106.045737794,yellow,neutral,correct,k,0.596573185462
204561,52,108.067804131,yellow,congruent,correct,k,0.574311861626
204561,53,110.088456922,yellow,neutral,correct,k,0.442004718077
204561,54,112.1089143,yellow,neutral,correct,k,0.517769165752
204561,55,114.130772424,blue,congruent,correct,j,0.527376414986
204561,56,117.937858587,green,probe,-1,3,-1
204561,57,120.2495952,red,neutral,correct,d,0.792494595203
204561,58,122.270475405,blue,incongruent,correct,j,0.723624224587
204561,59,124.290806489,red,neutral,incorrect,f,0.671459126844
204561,60,126.31155528,blue,neutral,correct,j,1.53073214689
204561,61,128.332182898,blue,neutral,correct,j,0.486034992626
204561,62,130.353258089,red,neutral,correct,d,0.768923831926
204561,63,132.37521264,blue,congruent,correct,j,0.571223222944
