# OrderedDict([('code', u'376613'), ('alder (opsjonalt)', u'26'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_13_1423'), ('expName', 'StroopMW'), ('frameRate', 59.939210426720102)])
subj,trial,time,color,condition,correct,response,RT
376613,0,1.81286050682,green,incongruent,correct,f,1.35327503073
376613,1,3.83674531701,green,congruent,correct,f,0.449326271708
376613,2,5.85908004655,green,congruent,correct,f,0.459281689291
376613,3,7.87955536195,yellow,neutral,correct,k,0.502735147835
376613,4,9.90176465142,red,incongruent,correct,d,0.528281825398
376613,5,11.9222497802,yellow,neutral,correct,k,0.587848784147
376613,6,13.9424221621,yellow,neutral,correct,k,0.487564154697
376613,7,15.964728305,red,incongruent,correct,d,0.577354486333
376613,8,17.9876296481,yellow,incongruent,correct,k,0.650740330981
376613,9,20.0076642166,red,neutral,correct,d,0.518619101276
376613,10,22.0281275853,green,incongruent,correct,f,0.689997521069
376613,11,24.0504580482,green,congruent,correct,f,0.555608983726
376613,12,26.0706368301,red,neutral,correct,d,0.535765988599
376613,13,28.0910767322,green,neutral,correct,f,0.93096530388
376613,14,30.1112883675,green,neutral,correct,f,0.52677142476
376613,15,32.1324019765,yellow,incongruent,correct,k,0.505628375729
376613,16,34.1544231059,yellow,incongruent,correct,k,0.596005374289
376613,17,36.1747563412,yellow,neutral,correct,k,0.511293231481
376613,18,38.1953472833,yellow,neutral,correct,k,0.426723168734
376613,19,40.2173419594,blue,congruent,correct,j,0.612776794784
376613,20,42.2374345546,yellow,congruent,correct,k,0.528824972302
376613,21,44.2598960042,yellow,incongruent,correct,k,0.538369509704
376613,22,50.326656566,red,probe,-1,3,-1
376613,23,52.6400740864,green,neutral,correct,f,0.734145166571
376613,24,54.6598983082,blue,incongruent,correct,j,0.618154930409
376613,25,56.6811121839,green,incongruent,correct,f,0.80504781015
376613,26,58.701508566,red,neutral,correct,d,0.416539911057
376613,27,60.7225846283,green,incongruent,correct,f,0.555582103712
376613,28,62.7437528507,red,congruent,correct,d,0.534596494763
376613,29,64.7661008069,green,congruent,correct,f,0.463944731287
376613,30,66.7864080155,red,neutral,correct,d,0.491986556583
376613,31,68.8094232787,yellow,incongruent,correct,k,0.500807467011
376613,32,70.8299369941,blue,neutral,correct,j,0.416118790876
376613,33,72.8502634028,yellow,neutral,correct,k,0.507807363334
376613,34,74.8724705589,blue,congruent,correct,j,0.709948462914
376613,35,76.8951026752,red,incongruent,correct,d,0.479038497724
376613,36,78.9181606051,green,incongruent,correct,f,0.58391790247
376613,37,80.9386623738,yellow,neutral,correct,k,0.499403306414
376613,38,82.9604394498,red,congruent,correct,d,0.685660025876
376613,39,84.9827831393,yellow,incongruent,correct,k,0.775622304267
376613,40,87.0049028288,blue,congruent,correct,j,0.577143286246
376613,41,89.0263842246,red,congruent,correct,d,0.53966401692
376613,42,91.0474018336,yellow,incongruent,correct,k,0.646634089237
376613,43,93.8540812177,blue,probe,-1,3,-1
376613,44,96.1832717582,green,incongruent,correct,f,0.790789457402
376613,45,98.2031326733,yellow,congruent,correct,k,0.563079493579
376613,46,100.225372683,blue,congruent,correct,j,0.524716170541
376613,47,102.247760319,green,congruent,correct,f,0.6303110956
376613,48,104.270117235,blue,incongruent,correct,j,0.655957613206
376613,49,106.290449191,red,neutral,correct,d,0.459929796241
376613,50,108.312129413,yellow,congruent,correct,k,0.597951401789
376613,51,110.334863076,blue,incongruent,correct,j,0.799196074324
376613,52,112.356123885,red,congruent,correct,d,0.457950915392
376613,53,114.378464588,green,congruent,correct,f,0.515858140097
376613,54,116.398619903,blue,neutral,incorrect,d,0.527756598509
376613,55,118.418876765,red,neutral,correct,d,0.731200311981
376613,56,120.439381094,yellow,neutral,correct,k,0.614689968941
376613,57,122.459885423,green,neutral,correct,f,0.770216435289
376613,58,124.482366072,blue,congruent,correct,j,0.811673519645
376613,59,126.502923308,green,neutral,correct,f,0.759490030716
376613,60,128.525284491,green,incongruent,correct,f,0.416853937859
376613,61,130.545543059,yellow,congruent,correct,k,0.540521190618
376613,62,132.568096669,yellow,incongruent,correct,k,0.646141715682
376613,63,134.590568785,green,incongruent,correct,f,0.655819799817
376613,64,136.611150767,red,neutral,correct,d,0.539231376737
376613,65,138.633208164,blue,congruent,correct,j,0.597118974772
376613,66,141.886175951,green,probe,-1,3,-1
376613,67,144.199407445,green,incongruent,correct,f,0.678678476237
376613,68,146.221693961,red,incongruent,correct,d,0.432549731224
376613,69,148.244055144,blue,congruent,correct,j,0.442018748596
376613,70,150.264721606,blue,neutral,correct,j,0.549418474424
376613,71,152.284964815,red,incongruent,correct,d,0.577352353008
376613,72,154.305414104,red,incongruent,correct,d,0.49266111687
376613,73,156.325965366,blue,neutral,correct,j,0.648144916544
376613,74,158.347293588,red,congruent,correct,d,0.482819192672
376613,75,160.367700637,blue,neutral,correct,j,0.766407153664
376613,76,162.388085072,red,neutral,correct,d,0.602004736858
376613,77,164.411093509,red,congruent,correct,d,0.57907011373
376613,78,166.433352718,green,incongruent,correct,f,0.508722990387
376613,79,168.455759981,blue,incongruent,correct,j,0.534381881334
