# OrderedDict([('code', u'146393'), ('alder (opsjonalt)', u'38'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_13_1423'), ('expName', 'StroopMW'), ('frameRate', 59.89438122254569)])
subj,trial,time,color,condition,correct,response,RT
146393,0,1.81199831893,yellow,neutral,incorrect,j,0.962677680385
146393,1,3.8334814581,blue,incongruent,correct,j,0.700879148542
146393,2,5.85397984849,green,congruent,correct,f,1.11236589304
146393,3,7.87483663965,green,incongruent,correct,f,0.8355158091
146393,4,9.89566484409,yellow,congruent,incorrect,j,1.23092529264
146393,5,11.9342692998,green,congruent,correct,f,0.824116104784
146393,6,13.9543973427,blue,neutral,correct,j,0.789155390201
146393,7,15.9759730687,blue,congruent,correct,j,0.622456794568
146393,8,17.9970999405,red,incongruent,correct,d,0.841327874834
146393,9,20.0198600957,blue,incongruent,correct,j,0.754730570094
146393,10,22.0401528323,yellow,neutral,correct,k,0.446337378853
146393,11,24.0609008233,blue,incongruent,correct,j,0.905744438925
146393,12,26.0813505735,green,neutral,incorrect,d,1.02906075533
146393,13,28.102205658,red,congruent,correct,d,0.640196352419
146393,14,30.1224087945,yellow,neutral,none,none,-1
146393,15,32.1439943339,blue,congruent,correct,j,0.102526938725
146393,16,34.1648430183,red,congruent,correct,d,0.897559674791
146393,17,36.1856161827,blue,incongruent,correct,j,0.828872594931
146393,18,38.2058901459,yellow,neutral,correct,k,0.520624470664
146393,19,40.2273126983,yellow,congruent,correct,k,0.64315315873
146393,20,42.2500126934,blue,neutral,correct,j,0.764503817612
146393,21,44.2712112453,yellow,incongruent,correct,k,0.647320847616
146393,22,46.2914570484,red,neutral,correct,d,0.706951481501
146393,23,48.312824134,yellow,congruent,correct,k,0.878910035004
146393,24,50.3337103653,yellow,incongruent,correct,k,0.568732519961
146393,25,54.6597757009,blue,probe,-1,3,-1
146393,26,56.9723937544,red,incongruent,none,none,-1
146393,27,58.9875387468,blue,congruent,correct,j,0.763039494479
146393,28,61.00780375,yellow,neutral,correct,k,0.854690250002
146393,29,63.0278613928,yellow,neutral,correct,k,0.690605419957
146393,30,65.0488773309,green,incongruent,correct,f,1.21359874901
146393,31,67.0698838824,red,congruent,correct,d,0.552593392204
146393,32,69.0908179004,green,incongruent,correct,f,1.12390981101
146393,33,71.112030959,yellow,congruent,correct,k,0.718497532791
146393,34,73.1328169233,red,congruent,correct,d,1.14579231102
146393,35,75.1542100357,blue,congruent,correct,j,1.09229033022
146393,36,77.1743717853,yellow,neutral,correct,k,0.528137660025
146393,37,79.1954372169,green,congruent,correct,f,0.763076614567
146393,38,81.2158404605,blue,neutral,correct,j,0.96666787556
146393,39,83.2368376253,red,incongruent,correct,d,0.753693767881
146393,40,85.2578057767,green,incongruent,correct,f,0.956864761312
146393,41,87.2788635282,yellow,incongruent,correct,k,0.743671346499
146393,42,89.3000125867,blue,neutral,correct,j,1.09058067324
146393,43,91.3204081502,red,neutral,correct,d,0.990376512804
146393,44,93.3410848877,yellow,neutral,correct,k,0.905508918418
146393,45,95.3626738404,blue,congruent,correct,j,0.563881309608
146393,46,97.3831760708,red,neutral,correct,d,0.97533562738
146393,47,99.4045111563,yellow,incongruent,correct,k,0.762368773052
146393,48,101.425542454,green,congruent,correct,f,1.01304280115
146393,49,103.44709386,green,incongruent,correct,f,0.639907071796
146393,50,105.468242919,red,incongruent,correct,d,1.38634706421
146393,51,107.489951765,green,incongruent,correct,f,0.804583263111
146393,52,109.510311489,red,neutral,correct,d,0.752268698176
146393,53,111.531477614,yellow,incongruent,correct,k,0.811126210399
146393,54,113.552634779,blue,incongruent,correct,j,0.534215966334
146393,55,115.640020992,green,incongruent,correct,f,1.08689810539
146393,56,117.661050584,green,congruent,correct,f,0.537646373647
146393,57,119.681535747,green,neutral,correct,f,0.56540365953
146393,58,121.702215471,yellow,neutral,correct,k,0.656383266956
146393,59,124.672462661,blue,probe,-1,3,-1
146393,60,126.985447222,green,incongruent,correct,f,1.2291716889
146393,61,129.006070626,green,neutral,correct,f,0.584558047056
146393,62,131.027809766,green,congruent,correct,f,0.5469519935
146393,63,133.049190932,yellow,incongruent,correct,k,0.669456788171
146393,64,135.069781056,green,neutral,correct,f,0.648917011022
146393,65,137.090949741,red,incongruent,correct,d,0.563713202588
146393,66,139.111305624,green,neutral,correct,f,0.783441884676
146393,67,141.133293938,blue,congruent,correct,j,0.745374176797
146393,68,143.153585821,blue,neutral,correct,j,0.517064783075
146393,69,145.173941278,green,neutral,correct,f,0.608701458565
146393,70,147.194269854,red,neutral,correct,d,0.988381841882
146393,71,149.215117686,green,incongruent,correct,f,0.5999052798
146393,72,151.236567118,yellow,incongruent,correct,k,0.770093162864
146393,73,153.257248975,green,neutral,correct,f,0.733497884794
146393,74,155.278506834,green,incongruent,correct,f,0.824188211605
