# OrderedDict([('code', u'725297'), ('alder (opsjonalt)', u'21'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_12_1419'), ('expName', 'StroopMW'), ('frameRate', 59.946569200460608)])
subj,trial,time,color,condition,correct,response,RT
725297,0,1.81273677343,red,congruent,correct,d,0.849421589087
725297,1,3.83361528901,green,neutral,correct,f,0.732548579221
725297,2,5.85456377795,green,congruent,correct,f,0.551605995352
725297,3,7.87554896023,yellow,incongruent,correct,k,0.834638436112
725297,4,9.89590182225,yellow,neutral,correct,k,0.462446703977
725297,5,11.9380044535,red,incongruent,correct,d,0.580411127642
725297,6,13.9584452089,yellow,neutral,correct,k,0.559739118822
725297,7,15.9787707643,red,neutral,correct,d,0.603420844126
725297,8,17.9998310399,yellow,incongruent,correct,k,0.56636013498
725297,9,20.0209668356,red,congruent,correct,d,0.625321653471
725297,10,22.041332071,green,neutral,correct,f,0.636857445059
725297,11,24.0622647732,red,congruent,correct,d,0.599996842665
725297,12,26.0831577955,red,neutral,correct,d,0.771157662361
725297,13,28.1051819115,blue,incongruent,correct,j,0.6053118316
725297,14,30.1264030406,green,congruent,correct,f,0.663933723278
725297,15,32.1480175565,blue,congruent,correct,j,0.626196747177
725297,16,34.1682125518,yellow,neutral,correct,k,0.381976909644
725297,17,36.1895983742,red,congruent,correct,d,0.408667481031
725297,18,38.2110008367,red,congruent,incorrect,f,0.547370473545
725297,19,40.2333769529,blue,congruent,correct,j,0.636830991715
725297,20,42.2540656017,yellow,neutral,correct,k,0.664270363422
725297,21,45.4158926574,red,probe,-1,1,-1
725297,22,47.7275314037,yellow,neutral,correct,k,0.582991182076
725297,23,49.7479823991,red,neutral,correct,d,0.594482600313
725297,24,51.769602035,yellow,congruent,correct,k,0.524815583921
725297,25,53.7912711643,red,congruent,correct,d,0.518947634751
725297,26,55.8129484002,blue,congruent,correct,j,0.561254212802
725297,27,57.833496249,red,neutral,correct,d,0.684951332246
725297,28,59.854751938,blue,incongruent,correct,j,0.839817318322
725297,29,61.8762994672,blue,incongruent,correct,j,0.49791423911
725297,30,63.8970713161,green,incongruent,incorrect,d,0.717482119459
725297,31,65.9199163392,blue,congruent,correct,j,0.694574803018
725297,32,67.9402905345,yellow,neutral,correct,k,0.385884324644
725297,33,69.9620364638,red,incongruent,correct,d,0.684175225248
725297,34,71.9826512993,blue,neutral,correct,j,0.695643603475
725297,35,74.0043110418,yellow,incongruent,correct,k,0.610062340293
725297,36,76.0248802239,red,neutral,incorrect,f,0.781529506786
725297,37,78.0453871127,yellow,neutral,correct,k,0.568875336053
725297,38,80.0657399747,blue,neutral,correct,j,0.820810590213
725297,39,82.0871403038,yellow,congruent,correct,k,0.479057271064
725297,40,84.1074987125,green,neutral,correct,f,1.3709258116
725297,41,86.1288892283,yellow,incongruent,correct,k,0.581432568078
725297,42,88.149334677,green,neutral,correct,f,0.561003759361
725297,43,90.1697442858,yellow,neutral,correct,k,0.492479356791
725297,44,92.1909086681,red,congruent,correct,d,0.359492846717
725297,45,94.2116493703,green,neutral,correct,f,0.626588000678
725297,46,96.2321912457,blue,neutral,incorrect,k,0.558069144776
725297,47,98.2525530678,yellow,neutral,correct,k,0.505670189086
725297,48,100.274173557,red,neutral,correct,d,0.56405442733
725297,49,102.295648979,red,congruent,correct,d,0.494744957758
725297,50,104.316531762,blue,neutral,correct,j,0.729762871365
725297,51,106.337040784,blue,neutral,correct,j,0.501502507308
725297,52,108.357577113,red,neutral,correct,d,0.624771253236
725297,53,110.378934775,yellow,congruent,correct,k,0.395673342154
725297,54,112.399551744,yellow,neutral,correct,k,0.550734741647
725297,55,114.420689246,red,incongruent,correct,d,0.513589552465
