# OrderedDict([('code', u'142272'), ('alder (opsjonalt)', u'22'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_13_1423'), ('expName', 'StroopMW'), ('frameRate', 60.079850092103335)])
subj,trial,time,color,condition,correct,response,RT
142272,0,1.81486301233,blue,incongruent,correct,j,1.31131890717
142272,1,3.8382046557,green,congruent,correct,f,0.679970269877
142272,2,5.85829254046,red,neutral,correct,d,0.452178153733
142272,3,7.87886042502,red,neutral,correct,d,0.59165414756
142272,4,9.89931908296,blue,neutral,correct,j,0.714992334943
142272,5,11.9193775277,green,neutral,correct,f,0.646813164029
142272,6,13.9473054092,red,congruent,correct,d,0.699067008398
142272,7,15.9672094007,blue,incongruent,correct,j,0.646939457307
142272,8,17.9884846982,yellow,congruent,correct,k,0.33768348259
142272,9,20.0087615963,blue,neutral,correct,j,0.589423535181
142272,10,22.0285947611,red,neutral,correct,d,0.473616437921
142272,11,24.0482167261,yellow,incongruent,correct,k,0.614253817919
142272,12,26.0693512237,yellow,congruent,correct,k,0.544807447543
142272,13,28.0894344152,red,neutral,correct,d,0.588737882143
142272,14,30.1111120593,green,incongruent,correct,f,0.583038471239
142272,15,32.1324155168,yellow,congruent,correct,k,0.641744366185
142272,16,34.1518621219,blue,incongruent,correct,j,0.558488081711
142272,17,36.1717375267,green,incongruent,correct,f,0.554403176786
142272,18,38.1928925044,blue,incongruent,incorrect,k,0.549330538946
142272,19,40.2129573491,blue,neutral,correct,j,0.59355196009
142272,20,42.2333720604,green,neutral,correct,f,0.700776234335
142272,21,44.2532393586,yellow,incongruent,correct,k,0.680900402818
142272,22,46.2764393487,blue,incongruent,correct,j,0.881918770378
142272,23,48.2966232334,red,neutral,correct,d,0.621580534797
142272,24,50.32042013,green,congruent,correct,f,1.02998441387
142272,25,52.3407798013,green,neutral,correct,f,0.625354826516
142272,26,54.362390032,green,incongruent,correct,f,0.507757863357
142272,27,56.3825525834,yellow,neutral,correct,k,0.519649911614
142272,28,58.4028375881,blue,neutral,correct,j,0.483314140452
142272,29,60.4225316597,blue,congruent,correct,j,0.495626881864
142272,30,62.4428610377,yellow,neutral,correct,k,0.523418656674
142272,31,64.4624514294,yellow,incongruent,incorrect,j,0.47171947873
142272,32,66.482034141,red,congruent,correct,d,0.996065708343
142272,33,68.5019044259,red,incongruent,correct,d,0.672301793151
142272,34,70.5236435099,yellow,congruent,correct,k,0.602562302905
142272,35,72.5449764075,yellow,congruent,correct,k,0.501293439447
142272,36,74.5666608782,yellow,congruent,correct,k,0.463528762222
142272,37,76.5857136701,blue,neutral,correct,j,0.572427702435
142272,38,81.6949121302,blue,probe,-1,3,-1
142272,39,84.0221870839,blue,neutral,correct,j,0.832167324937
142272,40,86.0422992886,yellow,incongruent,correct,k,0.491827416816
142272,41,88.0658051986,blue,incongruent,correct,j,0.628321865246
142272,42,90.0894310018,green,congruent,correct,f,0.428702963756
142272,43,92.1093755267,green,incongruent,correct,f,0.584928177093
142272,44,94.1324577568,yellow,incongruent,correct,k,0.625655626391
142272,45,96.1522614817,green,incongruent,correct,f,0.542027288735
142272,46,98.1724090998,yellow,neutral,correct,k,0.649723882787
142272,47,100.194136237,yellow,congruent,correct,k,0.531982706358
142272,48,102.214452815,red,neutral,correct,d,1.13566244879
142272,49,104.238339738,green,congruent,correct,f,0.648069270159
142272,50,106.258725863,yellow,neutral,correct,k,0.531530439883
142272,51,108.28180596,blue,incongruent,correct,j,0.588323588985
142272,52,110.302469844,green,incongruent,correct,f,0.727653236201
142272,53,112.324144075,yellow,congruent,correct,k,1.50636693062
142272,54,114.34473244,yellow,neutral,correct,k,0.573723061883
142272,55,116.366092644,green,incongruent,correct,f,0.680181896452
142272,56,118.387630768,yellow,congruent,correct,k,0.466594360922
142272,57,120.408016039,yellow,neutral,correct,k,0.382100743642
142272,58,122.431550536,green,congruent,correct,f,0.59855931795
142272,59,124.453799486,yellow,congruent,correct,k,0.56031165427
142272,60,126.473595958,red,congruent,correct,d,0.876511199356
142272,61,128.493392429,yellow,incongruent,correct,k,0.600715690365
142272,62,130.517046393,green,congruent,correct,f,0.497060481255
142272,63,133.208447911,yellow,probe,-1,3,-1
142272,64,135.538474437,green,congruent,correct,f,0.819787170229
142272,65,137.558753468,red,neutral,correct,d,0.415417422759
142272,66,139.579098633,red,neutral,correct,d,0.41104110462
142272,67,141.599509504,blue,neutral,correct,j,0.35861872699
142272,68,143.620070989,red,neutral,correct,d,0.802357844332
142272,69,145.640103834,green,incongruent,correct,f,0.574060128398
142272,70,147.661827131,yellow,congruent,correct,k,0.600243797227
142272,71,149.681880029,blue,incongruent,correct,j,0.452341140335
142272,72,151.701784021,yellow,incongruent,correct,k,0.512270714768
142272,73,153.722266572,red,neutral,correct,d,0.492014296738
142272,74,155.742304537,red,incongruent,correct,d,0.61577488394
142272,75,157.762190181,red,congruent,correct,d,0.451884180533
142272,76,159.785982385,green,congruent,correct,f,0.604443048775
142272,77,161.806042109,green,incongruent,correct,f,0.504045864938
142272,78,163.826100981,red,congruent,correct,d,1.04397779457
142272,79,165.846594199,yellow,neutral,correct,k,0.623549600619
142272,80,167.868439096,green,incongruent,correct,f,0.633966236172
142272,81,169.89112282,yellow,congruent,correct,k,0.514956580286
142272,82,171.911528571,blue,congruent,correct,j,0.382878983306
142272,83,173.931863069,yellow,neutral,correct,k,0.586464176442
142272,84,175.951890794,blue,congruent,correct,j,0.710192336985
142272,85,177.97572353,green,congruent,correct,f,0.638593434196
142272,86,179.997157548,red,incongruent,correct,d,0.553198270631
142272,87,182.017193379,blue,incongruent,correct,j,0.644873538185
142272,88,184.037144304,red,congruent,correct,d,0.769054391872
142272,89,186.060787174,yellow,incongruent,correct,k,0.521621537446
142272,90,188.081162205,blue,neutral,correct,j,0.533226012492
142272,91,190.104881875,red,incongruent,correct,d,1.50131647944
142272,92,192.124627147,blue,congruent,correct,j,1.09748006507
142272,93,194.145289751,blue,neutral,correct,j,0.452786580143
142272,94,196.167292942,red,neutral,incorrect,f,1.18275149535
142272,95,198.188825519,yellow,congruent,correct,k,0.505312637739
142272,96,202.75789877,green,probe,-1,2,-1
142272,97,205.068921144,green,incongruent,correct,f,0.713473402247
142272,98,207.089735642,blue,neutral,correct,j,0.676334644762
