# OrderedDict([('code', u'819650'), ('alder (opsjonalt)', u'23'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_14_1418'), ('expName', 'StroopMW'), ('frameRate', 59.936068248976802)])
subj,trial,time,color,condition,correct,response,RT
819650,0,1.81394106543,yellow,incongruent,correct,k,1.52052819581
819650,1,3.83455203452,green,neutral,correct,f,0.731899108781
819650,2,5.85449953749,yellow,neutral,correct,k,0.487908276991
819650,3,7.87443168049,blue,neutral,correct,j,0.612146677631
819650,4,9.89415262366,blue,congruent,correct,j,0.608522147391
819650,5,11.9231253989,blue,neutral,correct,j,0.419565295306
819650,6,13.9435170615,green,neutral,correct,f,0.687155040294
819650,7,15.9635669644,red,neutral,correct,d,0.538833886858
819650,8,17.9835072141,green,incongruent,correct,f,0.439235891856
819650,9,20.0036910902,yellow,neutral,correct,k,0.546951213269
819650,10,22.0246898989,red,congruent,correct,d,0.63773300247
819650,11,24.0447974018,green,incongruent,correct,f,0.71362499104
819650,12,26.0657770105,yellow,incongruent,correct,k,1.42865755421
819650,13,28.08599374,yellow,neutral,correct,k,0.496408323066
819650,14,30.1072058819,red,congruent,correct,d,0.619665817889
819650,15,32.1273978646,red,neutral,correct,d,0.438993972057
819650,16,34.1472928876,blue,congruent,correct,j,1.01137791029
819650,17,36.1693152689,yellow,congruent,incorrect,f,0.557141284575
819650,18,38.1888646922,yellow,neutral,correct,k,0.841697841752
819650,19,40.2109933133,green,incongruent,none,none,-1
819650,20,42.2315458291,blue,neutral,correct,j,1.15087048459
819650,21,44.2515372787,yellow,incongruent,correct,k,0.730851643013
819650,22,46.2718867013,red,neutral,correct,d,0.566505329916
819650,23,48.2957236943,yellow,incongruent,correct,k,1.03890812679
819650,24,50.3159062904,blue,congruent,correct,j,0.618524485522
819650,25,52.3357159802,yellow,incongruent,correct,k,0.710656246913
819650,26,54.3560999628,blue,neutral,correct,j,0.466301895423
819650,27,56.3763883721,green,neutral,correct,f,0.57399161686
819650,28,58.3964783817,red,incongruent,correct,d,0.409910690214
819650,29,60.4176320703,blue,incongruent,correct,j,1.14082761316
819650,30,62.4381641061,yellow,neutral,correct,k,0.480215056879
819650,31,64.4584768354,yellow,neutral,correct,k,0.555905658955
819650,32,66.4805235366,blue,incongruent,correct,j,0.566044530315
819650,33,68.5011426124,red,neutral,correct,d,1.26534889357
819650,34,70.5215129416,yellow,neutral,correct,k,0.81318842608
819650,35,79.3044823002,blue,probe,-1,2,-1
819650,36,81.6167572337,red,congruent,correct,d,0.661635702076
819650,37,83.6370537497,red,neutral,correct,d,0.465589362699
819650,38,85.6577142121,yellow,neutral,correct,k,0.604714150642
819650,39,87.6783947278,green,neutral,correct,f,0.583949581698
819650,40,89.7008395086,blue,incongruent,correct,j,0.385546337668
819650,41,91.7232574095,yellow,congruent,correct,k,0.619109018357
819650,42,93.7438150453,yellow,neutral,correct,k,0.502559997818
819650,43,95.764485321,green,neutral,correct,f,1.34588599818
819650,44,97.7868938352,yellow,incongruent,correct,k,1.27546387161
819650,45,99.8084686434,red,congruent,correct,d,1.39797086039
819650,46,101.829005373,red,congruent,correct,d,0.449406763175
819650,47,103.848857729,yellow,neutral,correct,k,1.38961758753
819650,48,105.870244804,blue,incongruent,correct,j,0.760130338022
819650,49,107.89034804,blue,congruent,correct,j,0.54804390567
819650,50,109.911129676,blue,neutral,correct,j,0.415526045414
819650,51,111.93397979,yellow,congruent,correct,k,0.47252610344
819650,52,113.954587772,green,neutral,correct,f,0.660064290074
819650,53,115.976704447,green,incongruent,correct,f,0.445627779729
819650,54,117.996964696,red,neutral,correct,d,0.409507917218
819650,55,120.018955504,red,incongruent,correct,d,0.483656120618
819650,56,122.041319645,red,incongruent,correct,d,0.365198195032
819650,57,124.062439627,green,incongruent,correct,f,0.983936440374
819650,58,126.082793316,green,neutral,correct,f,0.451539241352
819650,59,128.104026365,blue,incongruent,correct,j,0.510409804454
819650,60,130.124240534,yellow,incongruent,correct,k,0.570439619893
819650,61,132.147134594,green,incongruent,correct,f,0.707267663136
819650,62,134.168715803,red,congruent,correct,d,0.381576207721
819650,63,136.189147999,yellow,neutral,correct,k,0.841543815215
819650,64,138.210267981,red,congruent,correct,d,1.55607547215
819650,65,140.233316921,yellow,incongruent,correct,k,0.972994583048
819650,66,142.256018555,blue,incongruent,correct,j,0.582286863115
819650,67,144.275860245,yellow,incongruent,correct,k,0.59451895934
819650,68,146.296432387,blue,neutral,incorrect,k,0.702015827606
819650,69,148.316789916,green,neutral,correct,f,0.585529953678
819650,70,150.337612512,red,congruent,correct,d,0.54907174479
819650,71,152.3599118,yellow,incongruent,correct,k,0.958761848524
819650,72,154.381850127,green,incongruent,incorrect,d,0.776475924074
819650,73,156.402460243,red,neutral,correct,d,0.788192607404
819650,74,158.422831426,green,neutral,correct,f,0.447478231486
819650,75,162.700079616,blue,probe,-1,2,-1
819650,76,165.01576916,red,neutral,correct,d,0.718539333517
819650,77,167.035506316,red,neutral,correct,d,0.442808795466
819650,78,169.05848955,red,incongruent,correct,d,0.452035454262
819650,79,171.080703078,green,incongruent,correct,f,0.749836160139
819650,80,173.100919381,yellow,neutral,correct,k,0.697340418272
819650,81,175.122604269,blue,incongruent,correct,j,0.355987322895
819650,82,177.142459185,blue,congruent,correct,j,0.84779831655
819650,83,179.164892873,yellow,congruent,correct,k,0.633392526172
819650,84,181.185144589,yellow,neutral,correct,k,0.549137878072
819650,85,183.20754457,green,congruent,correct,f,0.846725250791
819650,86,185.228206312,red,neutral,correct,d,0.442058716108
819650,87,187.248091522,green,incongruent,correct,f,0.582187876535
819650,88,189.268286064,green,neutral,correct,f,0.466126535568
819650,89,191.290917725,green,incongruent,correct,f,0.459419341292
819650,90,193.311992907,green,neutral,correct,f,0.502301011373
819650,91,195.332441316,blue,neutral,correct,j,0.689812318022
819650,92,197.355212497,green,congruent,correct,f,0.731438309173
819650,93,199.376387945,blue,incongruent,correct,j,1.31803407527
819650,94,201.396333315,blue,congruent,correct,j,0.466014322337
819650,95,203.416211271,green,incongruent,correct,f,0.590078216468
819650,96,205.438630026,green,congruent,correct,f,0.503886503349
819650,97,207.460957473,green,congruent,correct,f,0.353315111839
819650,98,209.483485027,blue,incongruent,correct,j,0.586781365942
819650,99,211.503885223,yellow,neutral,correct,k,0.630581648569
819650,100,213.524276886,green,neutral,incorrect,k,0.497972055062
819650,101,215.54637564,yellow,congruent,correct,k,1.24387563189
819650,102,217.56688677,yellow,neutral,correct,k,0.503348050472
819650,103,225.660441036,yellow,probe,-1,2,-1
819650,104,227.971360024,yellow,incongruent,none,none,-1
819650,105,229.993750619,green,incongruent,correct,f,0.892460891766
819650,106,232.014345801,green,neutral,correct,f,0.55204304892
819650,107,234.036837942,green,congruent,correct,f,0.401398270806
