# OrderedDict([('code', u'774293'), ('alder (opsjonalt)', u'29'), (u'kj\xf8nn', 'kvinne'), ('date', u'2018_mar_13_1423'), ('expName', 'StroopMW'), ('frameRate', 59.928150084226914)])
subj,trial,time,color,condition,correct,response,RT
774293,0,1.81224431979,blue,incongruent,none,none,-1
774293,1,3.83260615049,green,neutral,correct,f,1.11811508746
774293,2,5.85533427655,green,congruent,incorrect,j,0.61520479164
774293,3,7.87777568237,green,congruent,correct,f,0.896792658597
774293,4,9.89810380638,blue,neutral,correct,j,1.21252924802
774293,5,11.9185718772,red,congruent,correct,d,0.53622275091
774293,6,13.9567999631,red,congruent,correct,d,0.625912000782
774293,7,15.978176408,red,neutral,correct,d,0.748366291933
774293,8,17.9984861854,blue,incongruent,correct,j,0.872218344295
774293,9,20.0184819358,yellow,congruent,correct,k,0.532166427445
774293,10,22.10542473,yellow,neutral,correct,k,0.653169197365
774293,11,24.1279531759,green,congruent,correct,f,0.966622264852
774293,12,26.1508775687,yellow,incongruent,correct,k,0.767704121776
774293,13,28.1719233467,yellow,incongruent,correct,k,0.8270257724
774293,14,30.1922911508,yellow,congruent,correct,k,0.742305486769
774293,15,32.2147820499,green,congruent,correct,f,1.05577946093
774293,16,34.2348042537,yellow,neutral,correct,k,0.588001355092
774293,17,36.2547662974,green,neutral,correct,f,1.03196973394
774293,18,38.2774419434,green,congruent,correct,f,0.625229333535
774293,19,40.2978771609,red,neutral,correct,d,0.572738622075
774293,20,42.3204158468,yellow,incongruent,correct,k,0.646144124708
774293,21,44.3403663704,green,neutral,correct,f,0.898355966601
774293,22,46.3613554017,blue,congruent,correct,j,0.909214215862
774293,23,48.3814936589,red,neutral,correct,d,0.585380766192
774293,24,50.4015542627,yellow,neutral,correct,k,0.517135801289
774293,25,52.4214825997,yellow,congruent,correct,k,0.449227050005
774293,26,54.4412074165,blue,neutral,correct,j,1.0694161659
774293,27,56.4606698331,yellow,incongruent,correct,k,0.81022490473
774293,28,58.4807709703,blue,neutral,correct,j,0.80582596764
774293,29,60.499578453,red,congruent,correct,d,0.547193213606
774293,30,62.5186124959,blue,incongruent,correct,j,1.11996938237
774293,31,64.5397564073,yellow,incongruent,correct,k,1.24286015391
774293,32,66.5599117311,green,incongruent,correct,f,1.25501760428
774293,33,68.5804472153,blue,incongruent,correct,j,0.818233018224
774293,34,70.6007164593,green,neutral,correct,f,0.878192109391
774293,35,72.6233690653,blue,incongruent,correct,j,0.807390555638
774293,36,74.6438247627,blue,neutral,correct,j,0.434904264454
774293,37,76.6665234488,green,congruent,correct,f,0.796105212678
774293,38,78.6875862934,blue,congruent,correct,j,0.519037029575
774293,39,80.7079583641,green,neutral,correct,f,0.802757805017
774293,40,83.9069486139,green,probe,-1,3,-1
774293,41,86.2181283995,red,congruent,correct,d,0.668561637176
774293,42,88.2383942301,green,neutral,correct,f,0.696510461028
774293,43,90.2580763802,yellow,congruent,correct,k,0.532697201234
774293,44,92.2792437583,blue,congruent,correct,j,0.43142095481
774293,45,94.3007166299,green,incongruent,correct,f,0.793930917491
774293,46,96.3212145674,green,neutral,correct,f,0.549433215521
774293,47,98.3422040253,blue,congruent,correct,j,0.672667027342
774293,48,100.363245963,red,incongruent,correct,d,0.539365580255
774293,49,102.38303606,green,incongruent,correct,f,0.791617102179
774293,50,104.404049838,green,neutral,correct,f,0.562634293448
774293,51,106.423833962,green,incongruent,correct,f,0.446817661286
774293,52,108.444054139,yellow,neutral,correct,k,0.522594579284
774293,53,110.464215009,blue,neutral,correct,j,0.982422171663
774293,54,112.48449876,yellow,neutral,correct,k,0.642477774913
774293,55,114.505390085,blue,congruent,correct,j,1.29322691689
774293,56,116.524488554,blue,incongruent,correct,j,0.842293198759
774293,57,118.544256891,blue,incongruent,correct,j,0.598401363968
774293,58,120.563995361,green,incongruent,correct,f,1.04266158307
774293,59,122.586344607,yellow,incongruent,correct,k,0.636472009784
774293,60,124.606837851,blue,congruent,correct,j,1.14378849603
774293,61,126.627224002,yellow,congruent,correct,k,0.563599414265
774293,62,128.647512019,green,incongruent,correct,f,0.863151669895
774293,63,130.670781586,yellow,incongruent,correct,k,0.744137168331
774293,64,132.691334563,yellow,neutral,correct,k,0.403507970994
774293,65,134.711522314,yellow,neutral,correct,k,0.383231900356
774293,66,136.731812891,blue,neutral,correct,j,0.603106647985
774293,67,138.754788911,red,incongruent,correct,d,0.612127669017
774293,68,140.776401303,yellow,congruent,correct,k,0.526281409097
774293,69,142.798582015,red,incongruent,correct,d,0.536314910991
774293,70,144.818447632,blue,neutral,correct,j,0.788624886292
774293,71,146.841033251,green,congruent,correct,f,0.749931306607
774293,72,148.860561374,red,congruent,correct,d,0.618295140943
774293,73,150.880450885,blue,neutral,correct,j,0.886395209724
774293,74,152.900267862,yellow,congruent,correct,k,0.514660279179
774293,75,154.922468627,green,congruent,correct,f,0.828442306934
774293,76,156.942458831,blue,neutral,correct,j,0.42423502868
774293,77,158.963021622,yellow,incongruent,correct,k,0.387639797453
